geo_id_1,geo_id_2,centroid_distance_m,artificial_edge,reason
24041,24026,11342.966274868098,False,queen_contiguity
24040,24016,27965.68894451441,False,queen_contiguity
24039,24038,16614.35780836504,False,queen_contiguity
24039,24029,25016.247991524197,False,queen_contiguity
24039,24026,11917.921962583952,False,queen_contiguity
24038,24037,21516.557829019283,False,queen_contiguity
24038,24029,14214.316269128747,False,queen_contiguity
24058,24036,66968.7287536856,False,queen_contiguity
24037,24029,26405.16910985257,False,queen_contiguity
24036,24031,41699.34343568413,False,queen_contiguity
24036,24023,31840.103730634088,False,queen_contiguity
24035,24028,11776.303872432272,False,queen_contiguity
24006,24047,64646.33227416512,False,queen_contiguity
24031,24023,36700.2337229205,False,queen_contiguity
24030,24024,53288.41784848138,False,queen_contiguity
24028,24022,60439.41711117492,False,queen_contiguity
24028,24021,21839.976839679704,False,queen_contiguity
24005,24024,40054.97458084849,False,queen_contiguity
24005,24023,21025.602645281277,False,queen_contiguity
24024,24023,49367.78234191893,False,queen_contiguity
24017,24047,62251.253011190594,False,queen_contiguity
