feature,fill_value,mean,std
ambientalagua_kernel_intensity,0.0006306942593956137,0.0008301359581868662,0.0005276187103077228
ambientalagua_nearest_source_m,36838.102661432196,43091.85225134357,31854.800313636173
ambientalagua_count_within_10000m,0.0,0.38596491228070173,1.0387979889885939
ambientalladrilleras_kernel_intensity,0.0016090886713713954,0.002703471900529528,0.0025639613152917936
ambientalladrilleras_nearest_source_m,43753.00428340842,42160.704288914756,21141.302936329368
ambientalminasmetales_kernel_intensity,2.077361503236927e-05,3.033015250659119e-05,3.0170834669166896e-05
ambientalminasmetales_nearest_source_m,108751.66511821076,135662.9804872147,89144.85026723551
ambientalretc_kernel_intensity,0.018797668570775916,0.02783378515051411,0.02021425493952863
ambientalretc_nearest_source_m,20649.01288991858,23842.85245532103,16793.94605974021
ambientalretc_count_within_5000m,0.0,1.6842105263157894,5.82841766235972
ambientalretc_count_within_10000m,0.0,8.421052631578947,21.12199100830991
