geo_id,outcome_count_for_model,population,model_inclusion_flag,ambientalagua_kernel_intensity,ambientalagua_nearest_source_m,ambientalagua_count_within_10000m,ambientalladrilleras_kernel_intensity,ambientalladrilleras_nearest_source_m,ambientalminasmetales_kernel_intensity,ambientalminasmetales_nearest_source_m,ambientalretc_kernel_intensity,ambientalretc_nearest_source_m,ambientalretc_count_within_5000m,ambientalretc_count_within_10000m,control_age_share_female_60plus_z,control_age_share_female_15_49_z
24042,4.0,6875,1,0.0003316698211633349,80426.70093831643,0,0.0009845462224506002,56142.00255655006,9.792485804718565e-06,266142.22864105843,0.014509637099277545,34384.53190204668,0,0,0.41623523014250935,-0.6173072406913804
24046,6.0,9213,1,0.0011091639728167447,33805.402042702546,0,0.006137463356450962,13290.559142530486,3.8305094732491627e-05,41240.70906804446,0.043023794296726176,33717.33179893075,0,0,-1.2248307612849931,0.8605812285251575
24002,3.0,3998,1,0.0005981576443414525,52086.944624544136,0,0.0020918889996442754,51118.76204507585,1.6113800005474518e-05,151286.15562989478,0.019033305907200083,41420.28370436921,0,0,0.3834357357976138,-0.6272120478870177
24003,10.0,24346,1,0.0004260746066107558,56890.55804891255,0,0.0013047236303172622,30406.653528600862,1.1737587514778882e-05,214441.11249240485,0.017822343659581533,26761.2124302022,0,0,-1.031041985961564,0.3368435325252242
24004,3.0,2016,1,0.0012898832223394022,24286.74273071908,0,0.00426306522948058,36081.70818569154,4.21873973497215e-05,39386.24430053785,0.05328239793437034,20649.01288991858,0,0,2.1043431771340555,-1.2193974491991804
24018,2.0,7852,1,0.0003705691581666155,79787.02997055522,0,0.001149337294634899,51542.69851990047,1.0734849263226325e-05,235079.54414302687,0.022003034690405297,3023.1677620073074,22,22,-0.23219527079273983,0.17619543133821217
24019,5.0,2723,1,0.000522010206982449,61440.09795646667,0,0.0018627707909784717,61232.4488029269,1.400688702869545e-05,166266.92988426908,0.017283040782689205,36311.70285474511,0,0,2.3961743183336686,-1.3393010099342153
24020,75.0,52548,1,0.0009118767388200124,6922.388676943255,1,0.0012586049625997052,39311.31437726484,3.2077032614440294e-05,74919.5967257227,0.015121866235581007,19632.466117368407,0,0,-0.7409999228402792,1.147698490924473
24044,3.0,3751,1,0.0006038187269324152,27686.645840202335,0,0.0009174724550396764,42379.65589204458,2.077361503236927e-05,121013.95512254906,0.009971081900951658,61857.85007063641,0,0,-0.6529588745438583,-0.5969782967537763
24045,11.0,7172,1,0.0014981133082571636,1358.1559238377035,1,0.00515513287922791,503.055731024991,8.732812982650991e-05,25169.74199787547,0.043001555531679614,1019.8951879120804,23,23,0.6303946356585345,-0.3286813302600218
24049,10.0,20122,1,0.0005945689467760767,20799.35927097101,0,0.0014396686755836436,44502.32386471419,2.938662195912156e-05,87900.62800934828,0.014351186301403935,79773.6702333988,0,0,-1.071474422880787,0.4008275549829533
24050,16.0,26749,1,0.0017271610668672078,7549.110366162979,2,0.006653174736241553,6601.407685510916,3.860948190416371e-05,38690.380969756,0.06698245620730914,5842.976737106617,0,30,-1.6277150739214046,1.4338599372834202
24052,5.0,5169,1,0.0008364146024861664,36838.102661432196,0,0.002939608736634928,44277.33754331203,2.503187558295822e-05,87806.34654245095,0.027240540669120798,30091.41259081387,0,0,1.3494031866572616,-1.5538594455006247
24053,8.0,16627,1,0.00034096597907294987,93167.61141765853,0,0.001055632770571151,65134.05462187174,1.0117989528322783e-05,251100.82612310522,0.016624314870662467,17955.644569494183,0,0,-0.014964913077500249,-0.2127095404584723
24054,15.0,25311,1,0.000357929727208032,96431.64306300854,0,0.0011331490533602615,68309.52653281763,1.0554119867185692e-05,236821.21186289846,0.015425309618021302,20233.202092259176,0,0,-0.35619761266194083,-0.41059624942469025
24055,4.0,13904,1,0.001422799918838748,20247.068343381983,0,0.0058428104191527675,20833.460939995723,3.942928327973507e-05,38834.18792024803,0.070772914743033,11964.731096392095,0,0,-1.537327286966495,1.7283797734029365
24034,7.0,7534,1,0.00034074659996563447,66484.6717674469,0,0.0009721680382011662,48690.893323649536,9.866470373593245e-06,268539.9111049794,0.014531946308589479,32220.940328318222,0,0,-0.13615123789225173,0.3440125864588308
24014,7.0,7897,1,0.00035717836573057044,82007.87965948289,0,0.0010983949238176345,53887.79234652882,1.043035358057931e-05,243648.20604869837,0.0177528545739534,7699.731596020539,0,22,0.9540070827834567,-0.9783863154093455
24033,2.0,5506,1,0.0005299733945738866,74767.47470138864,0,0.0012489613950341905,69047.44464976463,3.6595675875217e-05,63307.98771313927,0.013048439031224159,63695.160671238875,0,0,0.43098680257406524,-0.8390172553462167
24001,7.0,10029,1,0.0010751033236148352,26883.244750903737,0,0.003408615376787053,41746.2905115601,4.5814185807688794e-05,45382.491041548354,0.03470974212444725,37075.733201337905,0,0,-0.31444000197879696,0.49951411502495996
24051,15.0,7803,1,0.0009977797646709987,19961.573724140955,0,0.0026739931745576777,57787.81557438032,4.0480878354735366e-05,65577.11158785677,0.030139246687776115,12901.50689100748,0,0,0.4887390240489864,-0.20006086240489515
24032,18.0,20722,1,0.0011474154951700583,10940.409091116182,0,0.003839830519544308,39064.88923464286,2.603332873607915e-05,67683.78581889758,0.03725759653941292,21706.13681575112,0,0,-0.44983491022134536,0.7789246771936665
24027,7.0,5274,1,0.0006203993011022865,42414.40973421838,0,0.002345481648446119,44960.68505109364,1.57057314531353e-05,140047.60673363606,0.018797668570775916,44407.03351526248,0,0,1.2693095651538373,-0.9386543376577476
24025,17.0,16233,1,0.0006967166366958097,22672.726838675684,0,0.0018411907328049052,24453.140402174737,3.883216534254654e-05,66633.67392895106,0.018419170973145833,55553.0083877394,0,0,-1.0676605519812212,0.8095823797994695
24056,6.0,8888,1,0.0012356192164991258,5322.570629185708,1,0.0027451600173525404,45253.74668614797,4.536157860875225e-05,61568.410035671055,0.03072249714488224,21676.748138290226,0,0,-1.309607470244756,0.9552729894276121
24057,7.0,14885,1,0.0003260687107612395,105207.47945340569,0,0.0010155394862638644,77219.80042307453,9.815699504607287e-06,258724.32400175778,0.018666211259127548,8988.277097564802,0,34,-0.5325064207480953,-0.4734831301344207
