term,coef,std_err,z,p_value,model_type,ci_lower,ci_upper,exp_coef,note
const,-7.033294843878131,0.050516969546594626,-139.22638089743148,0.0,discrete_negative_binomial_estimated_dispersion,-7.132306284797563,-6.934283402958698,0.0008820208666728204,
ambientalagua_kernel_intensity,0.03335556203485488,0.35673931900140365,0.09350122136305261,0.9255053794396327,discrete_negative_binomial_estimated_dispersion,-0.6658406550772417,0.7325517791469515,1.0339180959148906,coef is per 1 SD increase in standardized feature
ambientalagua_nearest_source_m,-0.38879686305757044,0.15216278619121673,-2.5551376442922473,0.01061458144154064,discrete_negative_binomial_estimated_dispersion,-0.687030443779624,-0.09056328233551697,0.677871956865531,coef is per 1 SD increase in standardized feature
ambientalagua_count_within_10000m,-0.17211820039232312,0.13668190756364748,-1.2592610350581648,0.20793606229300365,discrete_negative_binomial_estimated_dispersion,-0.44000981655530497,0.09577341577065873,0.8418796567814574,coef is per 1 SD increase in standardized feature
ambientalladrilleras_kernel_intensity,0.13064680765564995,0.133768235518209,0.9766654030348323,0.32873482840503543,discrete_negative_binomial_estimated_dispersion,-0.1315341162355113,0.3928277315468112,1.1395652245129997,coef is per 1 SD increase in standardized feature
ambientalladrilleras_nearest_source_m,0.11157851069984057,0.10194018291145403,1.0945488571151423,0.2737143318361631,discrete_negative_binomial_estimated_dispersion,-0.0882205763840348,0.31137759778371593,1.1180415187819466,coef is per 1 SD increase in standardized feature
ambientalminasmetales_kernel_intensity,-0.12196555223496515,0.09142433065344582,-1.3340601059174197,0.18218415889030593,discrete_negative_binomial_estimated_dispersion,-0.30115394762640024,0.05722284315646993,0.8851788604108323,coef is per 1 SD increase in standardized feature
ambientalminasmetales_nearest_source_m,-0.04158175434883424,0.1508917976976669,-0.27557332461602174,0.7828758004606747,discrete_negative_binomial_estimated_dispersion,-0.3373242433987652,0.2541607347010967,0.9592709075672065,coef is per 1 SD increase in standardized feature
ambientalretc_kernel_intensity,-0.307729416252664,0.18611620416763616,-1.6534262431845534,0.09824414553261863,discrete_negative_binomial_estimated_dispersion,-0.6725104733605344,0.05705164085520642,0.7351142010558368,coef is per 1 SD increase in standardized feature
ambientalretc_nearest_source_m,-0.07395954210625377,0.06284080581777673,-1.1769349731242897,0.23922146174084113,discrete_negative_binomial_estimated_dispersion,-0.19712525826857127,0.04920617405606373,0.928709266702056,coef is per 1 SD increase in standardized feature
ambientalretc_count_within_5000m,0.09627472790951808,0.06672525871159331,1.4428528231811957,0.1490619352081889,discrete_negative_binomial_estimated_dispersion,-0.0345043760243223,0.22705383184335845,1.101061514774446,coef is per 1 SD increase in standardized feature
ambientalretc_count_within_10000m,0.18537448092829178,0.07395001495618014,2.506753799010553,0.012184554820403813,discrete_negative_binomial_estimated_dispersion,0.040435114957980356,0.3303138468986032,1.2036691068638745,coef is per 1 SD increase in standardized feature
control_age_share_female_60plus_z,0.5968912102169962,0.12931633061832068,4.615745028976508,3.9168759726433234e-06,discrete_negative_binomial_estimated_dispersion,0.3434358595922134,0.8503465608417791,1.8164630119641378,coef is per 1 SD increase in standardized feature
control_age_share_female_15_49_z,0.3848947057471614,0.15650239252219075,2.459353493222709,0.01391874941653051,discrete_negative_binomial_estimated_dispersion,0.07815565290931686,0.6916337585850059,1.46945958764564,coef is per 1 SD increase in standardized feature
alpha,0.01992886680899896,0.017803794586160212,1.1193606347542717,0.2629863176570527,discrete_negative_binomial_estimated_dispersion,-0.014965929368024253,0.054823662986022176,,
