control,standardized_control,status,reason,fill_value,mean,std
age_share_female_60plus,control_age_share_female_60plus_z,keep,passes_filters,0.1459915618829233,0.14979387261560176,0.03465422472201959
age_share_female_15_49,control_age_share_female_15_49_z,keep,passes_filters,0.48810609889791884,0.4870541650352295,0.027214356925197525
