exposure_family,family_features,term,coef,std_err,z,p_value,model_type,ci_lower,ci_upper,exp_coef,note
ambientalminasmetales,"ambientalminasmetales_kernel_intensity, ambientalminasmetales_nearest_source_m",control_age_share_female_15_49_z,0.5705862619289039,0.11343511544997772,5.0300672738374335,4.903077712823493e-07,discrete_negative_binomial_estimated_dispersion,0.34825752106480456,0.7929150027930033,1.7693040230249077,coef is per 1 SD increase in standardized feature
ambientalminasmetales,"ambientalminasmetales_kernel_intensity, ambientalminasmetales_nearest_source_m",alpha,0.07737201417505425,0.02624646330695471,2.9479024762377204,0.003199379785291905,discrete_negative_binomial_estimated_dispersion,0.025929891371870975,0.12881413697823751,,
ambientalretc,"ambientalretc_kernel_intensity, ambientalretc_nearest_source_m, ambientalretc_count_within_5000m, ambientalretc_count_within_10000m",const,-7.0254468201508935,0.056657283975337876,-123.999004668296,0.0,discrete_negative_binomial_estimated_dispersion,-7.136493056204414,-6.914400584097373,0.0008889702210430003,
ambientalretc,"ambientalretc_kernel_intensity, ambientalretc_nearest_source_m, ambientalretc_count_within_5000m, ambientalretc_count_within_10000m",ambientalretc_kernel_intensity,-0.1404417963439045,0.08607339574864076,-1.6316516285012759,0.10275289546888368,discrete_negative_binomial_estimated_dispersion,-0.3091425520383034,0.028258959350494384,0.8689742409387834,coef is per 1 SD increase in standardized feature
ambientalretc,"ambientalretc_kernel_intensity, ambientalretc_nearest_source_m, ambientalretc_count_within_5000m, ambientalretc_count_within_10000m",ambientalretc_nearest_source_m,0.033789686690857454,0.06385123354259713,0.5291939531335023,0.5966709109812474,discrete_negative_binomial_estimated_dispersion,-0.09135643142108875,0.15893580480280367,1.0343670426949967,coef is per 1 SD increase in standardized feature
ambientalretc,"ambientalretc_kernel_intensity, ambientalretc_nearest_source_m, ambientalretc_count_within_5000m, ambientalretc_count_within_10000m",ambientalretc_count_within_5000m,0.09821665633196135,0.07168104803802439,1.370190015635105,0.17062759419916707,discrete_negative_binomial_estimated_dispersion,-0.04227561619665195,0.23870892886057465,1.1032017748682068,coef is per 1 SD increase in standardized feature
ambientalretc,"ambientalretc_kernel_intensity, ambientalretc_nearest_source_m, ambientalretc_count_within_5000m, ambientalretc_count_within_10000m",ambientalretc_count_within_10000m,0.03428587643138609,0.0634942192033902,0.5399842200052669,0.5892079149302547,discrete_negative_binomial_estimated_dispersion,-0.09016050643375018,0.15873225929652235,1.0348804123633715,coef is per 1 SD increase in standardized feature
ambientalretc,"ambientalretc_kernel_intensity, ambientalretc_nearest_source_m, ambientalretc_count_within_5000m, ambientalretc_count_within_10000m",control_age_share_female_60plus_z,0.8038178844004984,0.12297468583922888,6.536449993060936,6.299618774049652e-11,discrete_negative_binomial_estimated_dispersion,0.5627919291454819,1.0448438396555149,2.2340540271585825,coef is per 1 SD increase in standardized feature
ambientalretc,"ambientalretc_kernel_intensity, ambientalretc_nearest_source_m, ambientalretc_count_within_5000m, ambientalretc_count_within_10000m",control_age_share_female_15_49_z,0.686143855436266,0.13293234261300402,5.161602074777131,2.448453216623165e-07,discrete_negative_binomial_estimated_dispersion,0.425601251534239,0.946686459338293,1.986042282019271,coef is per 1 SD increase in standardized feature
ambientalretc,"ambientalretc_kernel_intensity, ambientalretc_nearest_source_m, ambientalretc_count_within_5000m, ambientalretc_count_within_10000m",alpha,0.0579219962081021,0.026017759843792083,2.226248399395633,0.0259975476955556,discrete_negative_binomial_estimated_dispersion,0.006928123955857159,0.10891586846034704,,
