exposure_family,geo_id,predicted_count,predicted_rate_per_100k
ambientalagua,24030,6.31062426091382,262.06911382532473
ambientalagua,24019,6.070610172693938,222.9383096839493
ambientalagua,24004,4.396689817361117,218.08977268656326
ambientalagua,24028,777.0887991465148,164.9831530784875
ambientalagua,24024,81.85328600282237,160.81195678354098
ambientalagua,24013,141.73448336810856,152.38792306992727
ambientalagua,24043,6.446607674413334,151.82778319390798
ambientalagua,24045,10.121640098878606,141.12716256105148
ambientalagua,24027,7.255000486617286,137.56163228322498
ambientalagua,24035,230.63681961572667,135.5132757223929
ambientalladrilleras,24030,5.9684479092260885,247.85913244294386
ambientalladrilleras,24019,6.284557606155512,230.7953582870185
ambientalladrilleras,24004,4.2801024717619285,212.30667022628606
ambientalladrilleras,24028,892.0973900124824,189.4005426651357
ambientalladrilleras,24035,253.42906030254264,148.90511489911134
ambientalladrilleras,24024,74.86541046246748,147.08332114433688
ambientalladrilleras,24013,128.9861655197483,138.68138085534562
ambientalladrilleras,24008,15.468075009394324,136.97046851495895
ambientalladrilleras,24043,5.759388984955398,135.64269865650957
ambientalladrilleras,24027,6.966486950665584,132.09114430537701
ambientalminasmetales,24030,6.527023310816864,271.05578533292623
ambientalminasmetales,24019,6.636365417466942,243.71521915045702
ambientalminasmetales,24004,4.695291831478297,232.90138052967737
ambientalminasmetales,24028,777.8861413086107,165.15243620820124
ambientalminasmetales,24008,17.43804556029781,154.41464234745237
ambientalminasmetales,24035,260.7648762244019,153.2153566346848
ambientalminasmetales,24043,6.494776513231028,152.96223535635954
ambientalminasmetales,24027,7.344795501132442,139.26423020728936
ambientalminasmetales,24013,128.91770589753045,138.6077754814379
ambientalminasmetales,24023,10.17319600444732,129.71051899078577
ambientalretc,24019,7.011259003522781,257.4828866515895
ambientalretc,24028,984.3559760506643,208.98789541022697
ambientalretc,24030,4.667253157861161,193.82280555901832
ambientalretc,24004,3.3634441789431446,166.83750887614798
ambientalretc,24013,145.67106035497932,156.62039195667026
ambientalretc,24045,10.646772434015203,148.44914157857238
ambientalretc,24027,7.267731331992387,137.80302108442143
ambientalretc,24043,5.610481271718842,132.1356870400104
ambientalretc,24008,14.868030343128943,131.65704722508576
ambientalretc,24024,66.48412593994928,130.61714330048972
