geo_id,population,age_share_female_60plus,age_share_female_15_49,outcome_count,outcome_missing_flag,ambientalagua_kernel_intensity,ambientalagua_nearest_source_m,ambientalagua_count_within_1000m,ambientalagua_count_within_5000m,ambientalagua_count_within_10000m,ambientalladrilleras_kernel_intensity,ambientalladrilleras_nearest_source_m,ambientalladrilleras_count_within_1000m,ambientalladrilleras_count_within_5000m,ambientalladrilleras_count_within_10000m,ambientalminasmetales_kernel_intensity,ambientalminasmetales_nearest_source_m,ambientalminasmetales_count_within_1000m,ambientalminasmetales_count_within_5000m,ambientalminasmetales_count_within_10000m,ambientalretc_kernel_intensity,ambientalretc_nearest_source_m,ambientalretc_count_within_1000m,ambientalretc_count_within_5000m,ambientalretc_count_within_10000m,observed_rate_per_100k,control_age_share_female_60plus_z,control_age_share_female_15_49_z,model_inclusion_flag,outcome_count_for_model,predicted_count,predicted_rate_per_100k
24042,6875,0.16421818181818182,0.4702545454545455,4.0,0,0.0003316698211633349,80426.70093831643,0,0,0,0.0009845462224506002,56142.00255655006,0,0,0,9.792485804718565e-06,266142.22864105843,0,0,0,0.014509637099277545,34384.53190204668,0,0,0,58.18181818181818,0.41623523014250935,-0.6173072406913804,1,4.0,4.27595232131804,62.19567012826236
24046,9213,0.10734831216758928,0.5104743297514381,6.0,0,0.0011091639728167447,33805.402042702546,0,0,0,0.006137463356450962,13290.559142530486,0,0,0,3.8305094732491627e-05,41240.70906804446,0,0,0,0.043023794296726176,33717.33179893075,0,0,0,65.12536633018561,-1.2248307612849931,0.8605812285251575,1,6.0,4.7025771845225925,51.042843639667815
24002,3998,0.1630815407703852,0.46998499249624814,3.0,0,0.0005981576443414525,52086.944624544136,0,0,0,0.0020918889996442754,51118.76204507585,0,0,0,1.6113800005474518e-05,151286.15562989478,0,0,0,0.019033305907200083,41420.28370436921,0,0,0,75.0375187593797,0.3834357357976138,-0.6272120478870177,1,3.0,3.347938808951262,83.74034039397856
24003,24346,0.11406391193625236,0.49622114515731536,10.0,0,0.0004260746066107558,56890.55804891255,0,0,0,0.0013047236303172622,30406.653528600862,0,0,0,1.1737587514778882e-05,214441.11249240485,0,0,0,0.017822343659581533,26761.2124302022,0,0,0,41.074509159615545,-1.031041985961564,0.3368435325252242,1,10.0,10.9570350818332,45.00548378309863
24004,2016,0.22271825396825398,0.4538690476190476,3.0,0,0.0012898832223394022,24286.74273071908,0,0,0,0.00426306522948058,36081.70818569154,0,0,0,4.21873973497215e-05,39386.24430053785,0,0,0,0.05328239793437034,20649.01288991858,0,0,0,148.8095238095238,2.1043431771340555,-1.2193974491991804,1,3.0,3.5047646569782205,173.84745322312597
24018,7852,0.14174732552215996,0.49184921039225676,2.0,0,0.0003705691581666155,79787.02997055522,0,0,0,0.001149337294634899,51542.69851990047,0,0,0,1.0734849263226325e-05,235079.54414302687,0,0,0,0.022003034690405297,3023.1677620073074,0,22,22,25.471217524197655,-0.23219527079273983,0.17619543133821217,1,2.0,8.083651069254023,102.95021738734103
24019,2723,0.23283143591626881,0.4506059493206023,5.0,0,0.000522010206982449,61440.09795646667,0,0,0,0.0018627707909784717,61232.4488029269,0,0,0,1.400688702869545e-05,166266.92988426908,0,0,0,0.017283040782689205,36311.70285474511,0,0,0,183.6210062431142,2.3961743183336686,-1.3393010099342153,1,5.0,5.612491325907368,206.1142609587723
24020,52548,0.12411509477049555,0.5182880414097587,75.0,0,0.0009118767388200124,6922.388676943255,0,0,1,0.0012586049625997052,39311.31437726484,0,0,0,3.2077032614440294e-05,74919.5967257227,0,0,0,0.015121866235581007,19632.466117368407,0,0,0,142.72664992007307,-0.7409999228402792,1.147698490924473,1,75.0,68.26968517883411,129.91871275564088
24044,3751,0.1271660890429219,0.47080778459077577,3.0,0,0.0006038187269324152,27686.645840202335,0,0,0,0.0009174724550396764,42379.65589204458,0,0,0,2.077361503236927e-05,121013.95512254906,0,0,0,0.009971081900951658,61857.85007063641,0,0,0,79.97867235403892,-0.6529588745438583,-0.5969782967537763,1,3.0,2.166331925870595,57.75345043643285
24045,7172,0.17163970998326827,0.47810931399888457,11.0,0,0.0014981133082571636,1358.1559238377035,0,1,1,0.00515513287922791,503.055731024991,2,2,2,8.732812982650991e-05,25169.74199787547,0,0,0,0.043001555531679614,1019.8951879120804,0,23,23,153.37423312883436,0.6303946356585345,-0.3286813302600218,1,11.0,13.737383705670483,191.54188100488693
