geo_id,bayes_spatial_predicted_rate_mean_per_100k,bayes_spatial_predicted_rate_ci_lower,bayes_spatial_predicted_rate_ci_upper,bayes_spatial_predicted_count_mean
24042,66.92245727440013,42.658085546721615,100.30333484022235,4.6009189376150115
24046,56.05141802202423,26.493547413295207,104.27773802441908,5.164017142369107
24002,87.56306049808882,59.2438607168296,125.47075077787315,3.5007711587135932
24003,47.435454476885276,29.824249751056385,71.45216909401616,11.548635746942498
24004,176.24392965166507,94.75968427353195,297.90065071765605,3.553077621777568
24018,85.48676053536678,31.900271686917424,182.12311674284564,6.712420437237018
24019,204.01311900054128,107.03662658810556,341.5506792003731,5.555277230384751
24020,132.83725109355532,71.1486584052503,231.95050047196662,69.80331870464167
24044,65.53458917325818,32.113265243125035,122.2035575200182,2.4582024398889137
24045,158.1332576898759,68.60596569189214,316.36353105366175,11.341317241517926
24049,68.37781213530292,33.910374096912165,129.86903038345355,13.758983357865645
24050,65.57525113957054,34.231395012793485,116.0850908741966,17.54072392732371
24052,120.73540971829586,72.21210888147682,191.81640638933,6.240813328338719
24053,56.74242536046235,34.9228980635045,85.75565561101341,9.434563064684063
24054,46.086627717985124,28.583322122135645,69.32755316152766,11.664986341699208
24055,57.22076401825821,25.74137378984052,110.82079323911991,7.955975029098638
24034,78.36489065631386,47.673624237885214,125.45426232485134,5.904010862046672
24014,97.21021994687851,57.37946728360586,154.29822264279125,7.676691069204983
24033,69.70195990158827,33.164495620877695,129.7123738624528,3.837789912181453
24001,91.97692281798277,56.70024550112372,142.29602226135088,9.224365589415493
24051,150.1288806055737,89.09874792665656,242.24846336312297,11.7145565536529
24032,116.8784332025331,70.94740619654979,179.22141435877882,24.219548928228924
24027,137.2286209867075,84.53036358840255,211.86694028473647,7.237437470838946
24025,72.69040427308728,41.8129131519836,118.273359165166,11.799833325650246
24056,81.33697661790511,43.66996954179111,138.7323168602822,7.229230481799415
24057,50.00591105962018,28.58806493585711,80.2851346257457,7.443379861224471
24048,105.09721789025555,53.90372242268298,187.57033381791936,2.799789884596401
24015,59.438030177148846,15.914724076978878,167.1293999915976,6.632095407166268
24013,153.38883063322695,91.66433556066796,254.15884658160155,142.66541748365827
24043,168.0003062736547,91.62185110292515,277.42941649213066,7.133293004379364
24012,63.258681873769916,40.11844356558922,92.40911056091704,6.515011646179557
24011,120.51712701176953,79.48789904173765,176.66496490661356,29.723139034912716
24010,71.65682646893714,45.888230570328446,109.87208229632091,10.981408656364614
24009,89.44669201951312,20.596793245898617,256.5743370623965,2.2334838997272426
24008,135.01385447340405,81.41280518092059,216.57953206108965,15.247114585681539
24007,88.16438903395535,47.88735776662015,153.08026503133345,8.96102850141124
24041,66.18363128766859,43.01919852877838,98.31859107521062,6.020724938239195
24040,84.4502353125481,49.13928892586881,139.72896065337835,15.926469877593465
24039,59.36815280687404,39.53628221472309,88.36921998451355,4.0655311042147355
24038,63.32513899682945,37.84011573075469,96.67306726530377,4.47518757290594
24058,107.22088649458253,55.670187201712665,186.05426412851827,11.2732040060404
24037,84.27859136178617,39.61353262170305,164.47958094586193,41.151550590133056
24036,91.1906195724404,62.64625046695031,129.98202767254614,13.166101653868964
24035,119.89035371115823,57.10427662311715,238.344111488311,204.04738749870575
24006,100.68861300551625,46.51464647150637,188.79526708662115,4.721289063828677
24031,46.77502556959227,27.397776783084566,77.14347844141582,2.921568097076734
24030,248.33851545134365,116.00188855090859,498.4850056536368,5.979991452068365
24029,83.80445102825975,46.747348307770416,136.79958421112852,7.844934660755397
24028,224.2411297472148,115.92873704943511,417.0078532566643,1056.2003876336514
24026,61.36164577844312,37.27791507336978,89.88603164640541,2.8704977895155643
24005,122.52942357902755,81.3896741631925,182.7737863553812,11.740769367342407
24024,207.56929614286622,78.85757462919427,524.8765933884835,105.65277173671896
24023,126.5784509002272,83.8532127732228,178.67967247065152,9.927547904104811
24022,85.65419174766397,52.46069629705589,129.9062336272342,8.52687478847995
24021,91.58173110456814,52.082171288500696,157.52650599319904,28.022178083375678
24017,130.05058913048364,47.877008994061185,287.0990854358099,16.396778277571407
24047,142.50322701986616,81.66185589088889,223.6338919037344,6.620699927342986
24016,87.45343478771755,43.690946727407606,151.17285176438713,18.337236206288676
