geo_id,structured_spatial_effect_mean,structured_spatial_effect_ci_lower,structured_spatial_effect_ci_upper,unstructured_spatial_effect_mean,unstructured_spatial_effect_ci_lower,unstructured_spatial_effect_ci_upper,combined_area_effect_mean,combined_area_effect_ci_lower,combined_area_effect_ci_upper
24042,-0.005195096751683814,-0.24926267074010616,0.22410274710269706,-0.0015944549121976685,-0.2768511964555889,0.25341230363243994,-0.006789551663881471,-0.34953128869466876,0.3160470616019474
24046,0.010539833584568918,-0.2501500405545938,0.32145814182080107,0.005097767997961181,-0.2485758715585545,0.2728720865368147,0.015637601582530046,-0.33162150548726244,0.39206474789235135
24002,0.01671724068345297,-0.1785216059105977,0.25974777901474416,-0.0042321035697133426,-0.24282870796952394,0.2387710861082236,0.012485137113739607,-0.27866786369736496,0.3289050757031726
24003,-0.0008312787901143152,-0.20704326795774275,0.21358258813425393,-0.006555974178969608,-0.25992141372982436,0.22275497195642158,-0.007387252969083906,-0.296677288556017,0.25889559171323484
24004,0.0016275416907440775,-0.20097822682351577,0.20753283919787827,-0.005423375996181735,-0.24769119570909787,0.21959486701944012,-0.0037958343054376557,-0.31407554335461335,0.28340494504715064
24018,-0.02235476125660436,-0.2984218553507029,0.18432594009290582,-0.021321100976985103,-0.2784005696007407,0.19244873367117366,-0.04367586223358943,-0.4178444135424306,0.2542204889976759
24019,0.006054568211682772,-0.2963621575252798,0.3055730951613079,-0.0011510516293994702,-0.24475187627567283,0.25282632097678587,0.004903516582283303,-0.38357195210309286,0.3533566964351341
24020,0.007712887478015519,-0.2702023847575725,0.33464729045497194,0.007148141596174089,-0.23043371191095086,0.27768459321879496,0.014861029074189602,-0.32485890061305095,0.39942601412548834
24044,0.009037221218126373,-0.33898791114130356,0.368846339469217,0.008004261456700065,-0.22946756181701347,0.2893719844820915,0.017041482674826466,-0.3628900061458101,0.4620882187332202
24045,-1.4234416869931457e-05,-0.2176544254997314,0.21652413487517136,0.0042707419487341925,-0.235567834014545,0.26185203793232115,0.004256507531864257,-0.29732770686009663,0.32208886391435043
24049,-0.013272683470132494,-0.38763753494677106,0.30508766015147126,-0.008135634640180541,-0.2655734483759976,0.23111346731904506,-0.02140831811031301,-0.4338917960653238,0.37968367628461674
24050,-0.0044914770792999995,-0.2770917190811961,0.23538201438239356,-0.0007245883170785249,-0.23100267717370235,0.24782585667789622,-0.005216065396378529,-0.33355126256711487,0.3017567473687818
24052,0.011597209640748896,-0.20893446191235276,0.2520325805809249,-0.0041322111071477015,-0.23994270874001747,0.24536066548608787,0.007464998533601179,-0.3059105467759851,0.3246651542295571
24053,-0.01604804688227865,-0.27396757630168433,0.19717146862678087,-0.006882814885019089,-0.2882852250440628,0.23633336858025372,-0.022930861767297788,-0.3786835333325233,0.27567213682353015
24054,3.438031179135415e-05,-0.26217336563631305,0.24988535892146949,0.01574459153571673,-0.20758381544988483,0.28388390755284687,0.015778971847508098,-0.3121234432095564,0.3726536389862853
24055,-0.01048147719511393,-0.23013387112051786,0.1924067431911326,-0.01722505761675998,-0.29892669844588016,0.20991392387813992,-0.02770653481187385,-0.38102325490224365,0.26038791297016134
24034,0.010419460502620737,-0.24560223391506722,0.30749434156731903,0.010575024011025294,-0.2139509292431747,0.24895025111468352,0.020994484513646036,-0.3144103238538743,0.3927376365976479
24014,-0.010835802743314514,-0.31698920225626137,0.23336348172791252,-1.6204138903544245e-05,-0.23159298567777556,0.24030648114619377,-0.010852006882218058,-0.36819348147001374,0.3223941155662262
24033,-0.010932618467999734,-0.30759078563366016,0.2766688028563758,-0.01583714951150434,-0.2963980737220496,0.21876550045760734,-0.026769767979504103,-0.41444870036701736,0.3256234316078833
24001,-0.004715603473016294,-0.2870713125208086,0.2501714748623164,-0.006639822278251239,-0.280157201195914,0.22899915228495957,-0.011355425751267573,-0.3834882287896396,0.3241968825008686
24051,0.009671211032128606,-0.1473861725721443,0.19847633469433026,0.017151004889289508,-0.20272862263647154,0.2970148290090878,0.026822215921418115,-0.24335498324033994,0.3412488697998062
24032,-0.014128315584640554,-0.2642858232574722,0.19962194860760615,-0.011470626951950374,-0.25720980939448423,0.21912001953392887,-0.02559894253659093,-0.36749016367550175,0.2868941923379929
24027,0.00507426679061,-0.25934310047985204,0.2876368809834219,-0.000188303301633102,-0.24425858717738905,0.25137110266554247,0.004885963488976894,-0.3228173596896487,0.37320949312092155
24025,0.007862444842821436,-0.21452522846709302,0.2613115574139069,0.022404462532759878,-0.1978391653183181,0.3107013868768535,0.030266907375581284,-0.26974705228737217,0.4076603381663842
24056,-0.001609368428132461,-0.24159807674395803,0.24320063399975886,-0.005545971243364194,-0.2599737884780786,0.20789762105322523,-0.007155339671496651,-0.3631125926233518,0.3302354906714079
24057,-0.01627758433140469,-0.29006932015477876,0.23569581394687478,0.002739864711138098,-0.2314303170933657,0.27079699644202365,-0.013537719620266559,-0.35170195511171476,0.31528942935693843
24048,0.004335867470879709,-0.26663471902334857,0.2943851946053457,0.0015192853714097907,-0.24452851590810135,0.2674757215598956,0.005855152842289507,-0.3715195784286703,0.3873349184333418
24015,-0.0033616174481168495,-0.25431618432317604,0.2471682186630139,-0.004078774387344565,-0.24685021810865873,0.22500914297996782,-0.007440391835461429,-0.3411482304302554,0.3237897860570733
24013,0.023885680669852208,-0.17306386582899513,0.27893591784611627,0.025577532852423222,-0.1863909536898145,0.3019573730225223,0.04946321352227539,-0.22495135981123196,0.39413365209994283
24043,-0.037540556193420054,-0.5335629122609186,0.32829468776954396,-0.008462523819969698,-0.2637529369184471,0.20767172449474122,-0.046003080013389604,-0.539631423204214,0.3485936090071165
24012,-0.005731233143366987,-0.23634943249992996,0.19745994389572058,0.0013606026271386976,-0.22599137128578953,0.23854519133206653,-0.004370630516228293,-0.3145947981639825,0.31732565262567514
24011,0.0014134260971798115,-0.23324668179912267,0.23558281223033734,0.007024248635972441,-0.2402972878916853,0.24809169422967906,0.008437674733152286,-0.30442177540797194,0.3283823507889467
24010,0.032122772207745544,-0.12339374986413601,0.26236568217449624,0.027871667182219804,-0.17605146992428633,0.30906106449632326,0.05999443938996532,-0.18560178426093474,0.41069322598844793
24009,-0.001048616726373849,-0.26957160603730596,0.25983702173909284,0.0016822591619696057,-0.23752696429786316,0.2672550308209027,0.0006336424355957595,-0.3529220926683646,0.3611000044007666
24008,0.022498371665069947,-0.14453325358096317,0.24773230915486888,0.01842008408831356,-0.20269298345568085,0.3077487306748398,0.04091845575338355,-0.2330307237599936,0.37294839358674686
24007,-0.005570869985545206,-0.3253726169865544,0.30575830185802494,-0.010582966290165977,-0.28359914075994347,0.21961754327344837,-0.01615383627571122,-0.41112761173874846,0.33535184222246456
24041,0.0029652030637490447,-0.20765954466919062,0.21936116258282853,0.009825165899476395,-0.2161038308318076,0.25357880257447524,0.012790368963225466,-0.29215207999511716,0.35401903620642744
24040,0.004225000564381788,-0.24933719064072457,0.3057606920810285,0.007276899503298973,-0.20080475437933631,0.23940706760894317,0.011501900067680771,-0.3227034920299964,0.3527887936379541
24039,-0.006838291821315162,-0.23800809787122618,0.1995217955334599,0.015548284918645797,-0.2126142311217611,0.27512056294810433,0.008709993097330613,-0.2991502157811471,0.32389278585972614
24038,-0.02583314470133694,-0.32025572653268947,0.1994819698418844,-0.022504557055782068,-0.33068492195870863,0.2005790786376638,-0.04833770175711888,-0.44774465153202153,0.261137262465573
24058,0.033684461675682675,-0.19559908835502104,0.35792979712483497,0.005983079144054637,-0.2463577830263769,0.2716867294463307,0.039667540819737286,-0.26665879361756323,0.4245273327438243
