geo_id,bayes_predicted_rate_mean_per_100k,bayes_predicted_rate_ci_lower,bayes_predicted_rate_ci_upper
24042,66.01898953269843,45.763429608529286,92.187001582307
24046,54.52846429287467,28.54216686829554,95.37139518512171
24002,85.42244958192806,65.71076656885707,108.09714068515
24003,47.195651439183386,32.43460332425014,66.50300693539356
24004,178.71444954506805,102.50163792010011,292.7963999671517
24018,88.73319162248883,36.14874063836436,182.36117426495477
24019,201.0245417618614,113.27050651457299,326.9972409506922
24020,130.65697095867407,78.83511532369947,209.25399407532214
24044,63.2560903349529,34.24784903689924,107.07723178884207
24045,161.84312125507566,75.34510170619401,312.4882614901358
24049,68.7532812457277,36.16574879634697,121.5629757767164
24050,66.1237570936072,36.36377816864129,114.46789730353584
24052,120.24880228300876,78.93976430143405,175.81402144865334
24053,56.73046867918745,39.88021666076557,77.36842520255708
24054,44.43275879891647,30.26186459693948,62.46173882787339
24055,57.98756382841061,28.56444533433528,108.36554524805533
24034,74.7070961352096,50.183016478807694,107.48656797621437
24014,97.16279377231139,63.441640898723485,142.1799564015644
24033,70.4398221333233,37.61176779795885,119.16897095703695
24001,92.17464990401085,66.54040988349564,122.98248393720404
24051,146.24357395302718,95.256596879667,214.21858714601993
24032,119.38209882954034,82.49966827591184,165.74538182555855
24027,135.4171649390816,93.12105802211843,188.95481727509926
24025,70.17171083959022,44.57210784287597,107.58983372075507
24056,81.34789088787892,50.70996903293784,128.13678586458747
24057,49.58834546438784,30.293362891559767,75.98759229575835
24048,105.31632772244642,58.31532453880506,173.43765041837426
24015,61.79079826565603,16.653786681435985,167.62019522347074
24013,145.63342617486617,89.67809863628665,227.4333278597084
24043,173.54284266689743,116.41324958583081,250.41104793892313
24012,62.935927802790054,44.388843979597965,85.76447825091385
24011,119.35099245006522,90.41113750682693,159.34899424703687
24010,66.24038083944698,47.1457618784958,90.12788101420598
24009,88.49463818263432,21.068704920319327,235.9616094191167
24008,129.1259145669437,81.74659200119241,192.02292388474126
24007,89.52139536048533,54.26030108417865,139.95784691711526
24041,64.28980766663204,46.06082632048057,88.76501978514982
24040,82.82999502570006,51.16799007127619,129.33627497907977
24039,57.75169051800398,42.91475723603449,76.30762090778857
24038,65.12872771733618,44.29798402788849,92.04406275198144
24058,101.19306371088824,58.653638561381364,163.75412846186595
24037,84.61245795736508,42.89237691799841,154.98685225937618
24036,89.52480808571565,68.51770136549833,116.59003382808957
24035,123.2070871236343,60.64104444679055,240.95481487564
24006,100.71173518263646,49.54831410692351,177.9655176265777
24031,44.355882163465495,30.473708180744875,62.948674420914884
24030,249.45163479235904,115.04076015464588,472.0806418471501
24029,82.48018393170791,50.33379780452844,126.80003703352592
24028,222.23244891361512,109.34675388237211,439.3520732075066
24026,62.85663360526499,46.53456809618005,83.00815139989822
24005,115.6297240046602,86.26596250218495,150.1370219792567
24024,210.8758114462777,76.1081683483131,552.7747268306758
24023,127.61147081807252,96.55393051037923,165.1930015291895
24022,87.62426884286207,59.91032931817059,125.22586879088443
24021,90.0043948828242,55.757371349966874,142.94464496714596
24017,124.94197044466054,50.832342693805906,264.48902825137446
24047,147.02386330816387,97.22597318710714,213.42133606634243
24016,90.15234114590906,55.53370122373206,142.5909063113448
